DATE,TOTLL
1991-10-23,2037.9154
1991-10-30,2035.3751
1991-11-06,2036.7537
1991-11-13,2040.6648
1991-11-20,2039.8273
1991-11-27,2039.6534
1991-12-04,2039.7913
1991-12-11,2043.1196
1991-12-18,2043.1592
1991-12-25,2046.3917
1992-01-01,2042.4197
1992-01-08,2041.8915
1992-01-15,2040.3394
1992-01-22,2041.5486
1992-01-29,2043.3985
1992-02-05,2044.9045
1992-02-12,2038.1579
1992-02-19,2038.5996
1992-02-26,2036.043
1992-03-04,2038.5926
1992-03-11,2037.2074
1992-03-18,2034.0612
1992-03-25,2038.2176
1992-04-01,2046.8001
1992-04-08,2040.0008
1992-04-15,2044.4808
1992-04-22,2036.5004
1992-04-29,2037.2181
1992-05-06,2038.5061
1992-05-13,2038.8105
1992-05-20,2036.7085
1992-05-27,2033.9221
1992-06-03,2030.9682
1992-06-10,2032.1636
1992-06-17,2031.2439
1992-06-24,2030.7022
1992-07-01,2031.4627
1992-07-08,2027.8959
1992-07-15,2030.3194
1992-07-22,2026.2411
1992-07-29,2022.5339
1992-08-05,2024.6783
1992-08-12,2023.7703
1992-08-19,2022.5278
1992-08-26,2025.525
1992-09-02,2028.2934
1992-09-09,2028.3542
1992-09-16,2032.9137
1992-09-23,2030.7389
1992-09-30,2035.3022
1992-10-07,2029.5346
1992-10-14,2031.6604
1992-10-21,2029.7024
1992-10-28,2032.8424
1992-11-04,2031.4423
1992-11-11,2032.7293
1992-11-18,2029.0141
1992-11-25,2033.7063
1992-12-02,2031.5088
1992-12-09,2036.1753
1992-12-16,2035.2502
1992-12-23,2035.6786
1992-12-30,2035.6501
1993-01-06,2035.7147
1993-01-13,2034.0156
1993-01-20,2037.9575
1993-01-27,2034.6319
1993-02-03,2035.5705
1993-02-10,2035.7581
1993-02-17,2036.6584
1993-02-24,2033.8348
1993-03-03,2037.3543
1993-03-10,2034.6231
1993-03-17,2037.2679
1993-03-24,2031.8974
1993-03-31,2035.8091
1993-04-07,2034.388
1993-04-14,2033.0291
1993-04-21,2032.4502
1993-04-28,2038.6549
1993-05-05,2040.4275
1993-05-12,2048.2215
1993-05-19,2047.2591
1993-05-26,2053.3277
1993-06-02,2057.0571
1993-06-09,2056.2677
1993-06-16,2056.1587
1993-06-23,2053.9591
1993-06-30,2068.0029
1993-07-07,2065.2664
1993-07-14,2060.8337
1993-07-21,2062.1327
1993-07-28,2065.6578
1993-08-04,2072.1922
1993-08-11,2070.5111
1993-08-18,2068.4109
1993-08-25,2071.5116
1993-09-01,2074.4854
1993-09-08,2070.466
1993-09-15,2077.5892
1993-09-22,2071.7095
1993-09-29,2078.9504
1993-10-06,2078.4274
1993-10-13,2080.6011
1993-10-20,2080.1695
1993-10-27,2082.7191
1993-11-03,2083.8267
1993-11-10,2086.9477
1993-11-17,2087.2491
1993-11-24,2089.4346
1993-12-01,2099.629
1993-12-08,2095.7995
1993-12-15,2102.2754
1993-12-22,2099.4498
1993-12-29,2103.3931
1994-01-05,2107.2529
1994-01-12,2108.4611
1994-01-19,2105.8151
1994-01-26,2104.7674
1994-02-02,2109.702
1994-02-09,2115.5313
1994-02-16,2113.5348
