fhfb_id,district,member_name,city,state,zip,mem_type,char_type,cert,fed_id,ots_id,ncua_id,appr_date
"14142","Pittsburgh","Liverpool Community Bank","Liverpool","PA","17045","Commercial Bank","State","07582","0440110","","","18nov1996"
"14145","Topeka","Central National Bank","Junction City","KS","66441","Commercial Bank","National","04702","0234355","","","20nov1996"
"14146","Topeka","FNB Community Bank","Midwest City","OK","73110","Commercial Bank","State","16127","0839255","","","20nov1996"
"14147","Topeka","First State Bank and Trust Company - Larned, KS","Larned","KS","67550","Commercial Bank","State","15899","0009955","","","20nov1996"
"14149","Chicago","People's State Bank","Wausau","WI","54402","Commercial Bank","State","18569","0340144","","","19nov1996"
"14151","Cincinnati","Eaton National Bank And Trust Co.","Eaton","OH","45320","Commercial Bank","National","06579","1002618","","","20nov1996"
"14156","Boston","Hanscom Federal Credit Union","Hanscom Afb","MA","01731","Credit Union","Federal","","","","09095","15nov1996"
"14157","Atlanta","The Bank of Charlotte County","Phenix","VA","23959","Commercial Bank","State","14491","0667524","","","25nov1996"
"14158","Chicago","Farmers and Merchants Bank","Tomah","WI","54660","Commercial Bank","State","13046","0002040","","","26nov1996"
"14159","Des Moines","Bryant State Bank","Bryant","SD","57221","Commercial Bank","State","06064","0082257","","","27nov1996"
"14160","Des Moines","Jefferson Bank and Trust Co.","St. Louis","MO","63103","Commercial Bank","State","01071","0598954","","","26nov1996"
"14162","Chicago","Hustisford State Bank","Hustisford","WI","53034","Commercial Bank","State","12354","0467144","","","26nov1996"
"14163","Chicago","Stratford State Bank","Stratford","WI","54484","Commercial Bank","State","15174","0957047","","","26nov1996"
"14164","Chicago","Mid America Bank","Janesville","WI","53545","Commercial Bank","State","15183","0659042","","","19nov1996"
"14165","Chicago","Old Second National Bank ","Aurora","IL","60507","Commercial Bank","National","03603","0936136","","","26nov1996"
"14166","Chicago","Standard Bank and Trust Company","Hickory Hills","IL","60457","Commercial Bank","State","16606","0019730","","","26nov1996"
"14169","Boston","BANK RHODE ISLAND","East Providence","RI","02914","Commercial Bank","State","34147","2434113","","","26nov1996"
"14170","Boston","St. Mary's Bank","Manchester","NH","03102","Credit Union","State","","","","63829","26nov1996"
"14172","Chicago","Flora Bank and Trust","Flora","IL","62839","Commercial Bank","State","22598","0777441","","","26nov1996"
"14173","New York","The First National Bank of Dryden","Dryden","NY","13053","Commercial Bank","National","07031","0241009","","","27nov1996"
"14174","Chicago","Bremer Bank, National Association","Menomonie","WI","54751","Commercial Bank","National","15241","0503453","","","27nov1996"
"14175","Topeka","Exchange National Bank and Trust Company","Atchison","KS","66002","Commercial Bank","National","04619","0144052","","","27nov1996"
"14179","Atlanta","The Peoples Bank","Iva","SC","29655","Commercial Bank","State","16968","0285928","","","03dec1996"
"14180","Des Moines","Pine Country Bank","Royalton","MN","56373","Commercial Bank","State","13652","0761459","","","03dec1996"
"14181","Des Moines","Security BankUSA","Bemidji","MN","56619","Commercial Bank","State","01604","0950758","","","03dec1996"
"14183","Topeka","First National Bank in Ord","Ord","NE","68862","Commercial Bank","National","05460","0850054","","","09dec1996"
"14184","Topeka","Platte Valley Bank","Scottsbluff","NE","69363","Commercial Bank","State","34211","2465881","","","09dec1996"
"14185","Topeka","The First NB And TC of Vinita","Vinita","OK","74301","Commercial Bank","National","04218","0288358","","","09dec1996"
"14191","Topeka","Midfirst Bank","Oklahoma City","OK","73118","Savings Bank","Federal","04063","","14191","","12oct1994"
